taskName,gpumem,exist,node,info,lijlun3-1080ti-server,lijlun3-ndc-3090,ubuntu-01,ubuntu-02,ubuntu-03,ubuntu-2080ti
task-24-2,2,true,lijlun3-1080ti-server,,0.727273,0.717391,0.375000,0.187500,0.250000,0.550000
task-25-2,2,true,lijlun3-ndc-3090,,0.727273,0.760870,0.375000,0.187500,0.250000,0.550000
task-26-6,6,true,ubuntu-02,,0.727273,0.760870,0.375000,0.562500,0.250000,0.550000
task-27-3,3,true,lijlun3-1080ti-server,,0.795455,0.760870,0.375000,0.562500,0.250000,0.550000
task-28-3,3,true,ubuntu-03,,0.795455,0.760870,0.375000,0.562500,0.437500,0.550000
task-29-4,4,true,lijlun3-ndc-3090,,0.795455,0.847826,0.375000,0.562500,0.437500,0.550000
task-30-1,1,true,ubuntu-01,,0.795455,0.847826,0.437500,0.562500,0.437500,0.550000
task-31-3,3,true,lijlun3-1080ti-server,,0.863636,0.847826,0.437500,0.562500,0.437500,0.550000
task-32-3,3,true,ubuntu-2080ti,,0.863636,0.847826,0.437500,0.562500,0.437500,0.700000
task-33-5,5,true,ubuntu-01,,0.863636,0.847826,0.750000,0.562500,0.437500,0.700000
task-34-4,4,true,ubuntu-03,,0.863636,0.847826,0.750000,0.562500,0.687500,0.700000
task-35-1,1,true,lijlun3-ndc-3090,,0.863636,0.869565,0.750000,0.562500,0.687500,0.700000
task-36-3,3,true,ubuntu-02,,0.863636,0.869565,0.750000,0.750000,0.687500,0.700000
task-37-1,1,true,lijlun3-1080ti-server,,0.886364,0.869565,0.750000,0.750000,0.687500,0.700000
task-38-3,3,true,ubuntu-2080ti,,0.886364,0.869565,0.750000,0.750000,0.687500,0.850000
task-39-6,6,false,,Insufficient resources,0.886364,0.869565,0.750000,0.750000,0.687500,0.850000
task-40-1,1,true,lijlun3-ndc-3090,,0.886364,0.891304,0.750000,0.750000,0.687500,0.850000
task-41-1,1,true,lijlun3-1080ti-server,,0.909091,0.891304,0.750000,0.750000,0.687500,0.850000
task-42-6,6,false,,Insufficient resources,0.909091,0.891304,0.750000,0.750000,0.687500,0.850000
task-43-4,4,true,ubuntu-03,,0.909091,0.891304,0.750000,0.750000,0.937500,0.850000
task-44-6,6,false,,Insufficient resources,0.909091,0.891304,0.750000,0.750000,0.937500,0.850000
task-45-4,4,false,,Insufficient resources,0.909091,0.891304,0.750000,0.750000,0.937500,0.850000
task-46-4,4,false,,Insufficient resources,0.909091,0.891304,0.750000,0.750000,0.937500,0.850000
task-47-5,5,false,,Insufficient resources,0.909091,0.891304,0.750000,0.750000,0.937500,0.850000
task-48-4,4,false,,Insufficient resources,0.909091,0.891304,0.750000,0.750000,0.937500,0.850000
task-49-4,4,false,,Insufficient resources,0.909091,0.891304,0.750000,0.750000,0.937500,0.850000
task-50-4,4,false,,Insufficient resources,0.909091,0.891304,0.750000,0.750000,0.937500,0.850000
task-51-1,1,true,lijlun3-ndc-3090,,0.909091,0.913043,0.750000,0.750000,0.937500,0.850000
task-52-1,1,true,lijlun3-1080ti-server,,0.931818,0.913043,0.750000,0.750000,0.937500,0.850000
task-53-4,4,false,,Insufficient resources,0.931818,0.913043,0.750000,0.750000,0.937500,0.850000
task-54-2,2,true,lijlun3-ndc-3090,,0.931818,0.956522,0.750000,0.750000,0.937500,0.850000
task-55-1,1,true,ubuntu-01,,0.931818,0.956522,0.812500,0.750000,0.937500,0.850000
task-56-1,1,true,ubuntu-02,,0.931818,0.956522,0.812500,0.812500,0.937500,0.850000
task-57-3,3,true,ubuntu-2080ti,,0.931818,0.956522,0.812500,0.812500,0.937500,1.000000
task-58-3,3,false,,Insufficient resources,0.931818,0.956522,0.812500,0.812500,0.937500,1.000000
task-59-6,6,false,,Insufficient resources,0.931818,0.956522,0.812500,0.812500,0.937500,1.000000
